id,admin1_ref,code,name,from_cods,reference_period_start,reference_period_end,admin1_code,admin1_name,location_code,location_name,location_ref
#adm2+hapi_id,#adm1+hapi_id,#adm2+code,#adm2+name,,#date+start,#date+end,#adm1+code,#adm1+code,#country+code,#country+code,#country+hapi_id
78,8,AF0803,Dara,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
79,8,AF0804,Khenj,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
80,8,AF0805,Anawa,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
81,8,AF0806,Shutul,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
82,8,AF0807,Paryan,True,2021-11-17T00:00:00,,AF08,Panjsher,AFG,Afghanistan,1
83,9,AF0901,Pul-e-Khumri,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
84,9,AF0902,Dahana-e-Ghori,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
85,9,AF0903,Doshi,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
86,9,AF0904,Nahrin,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
87,9,AF0905,Baghlan-e-Jadid,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
88,9,AF0906,Khinjan,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
89,9,AF0907,Andarab,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
90,9,AF0908,Deh Salah,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
91,9,AF0909,Khwaja Hejran,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
92,9,AF0910,Burka,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
93,9,AF0911,Tala Wa Barfak,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
94,9,AF0912,Pul-e-Hisar,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
95,9,AF0913,Khost Wa Fereng,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
96,9,AF0914,Guzargah-e-Nur,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
97,9,AF0915,Fereng Wa Gharu,True,2021-11-17T00:00:00,,AF09,Baghlan,AFG,Afghanistan,1
98,10,AF1001,Bamyan,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
99,10,AF1002,Shibar,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
100,10,AF1003,Sayghan,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
101,10,AF1004,Kahmard,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
102,10,AF1005,Yakawlang,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
103,10,AF1006,Panjab,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
104,10,AF1007,Waras,True,2021-11-17T00:00:00,,AF10,Bamyan,AFG,Afghanistan,1
105,11,AF1101,Ghazni,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
106,11,AF1102,Wal-e-Muhammad-e-Shahid,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
107,11,AF1103,Khwaja Umari,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
108,11,AF1104,Waghaz,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
109,11,AF1105,Deh Yak,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
110,11,AF1106,Jaghatu,True,2021-11-17T00:00:00,,AF11,Ghazni,AFG,Afghanistan,1
